id,name,note,description,,client_res_id,monster_class,icon,resource,scale,radius,life_time,npc_type,monster_type,rage_time,level,attack_type,display_type,adapt_group,,,,,,,,,,,,,,,exp_drop,gold_drop,battle_info.endurance,battle_info.physical_strength,battle_info.agile,battle_info.intelligence,battle_info.spirit,battle_info.hp,battle_info.physical_attack,battle_info.magic_attack,battle_info.physical_armor,battle_info.magic_armor,battle_info.critical,battle_info.toughness,battle_info.accurate,battle_info.dodge,battle_info.move_speed,battle_info.attack_speed,battle_info.skill,ai_strategy,skill_ids_0,skill_ids_1,skill_ids_2,skill_ids_3,skill_ids_4,skill_ids_5,skill_ids_6,skill_ids_7,skill_ids_8,skill_ids_9,MainWeapon,ViceWeapon,Helmet,Shoulder,Chest,Manteau,Arm,Shoe
30404,monster_name_30404,变异鳄鱼,"","",30152,30404,monster_head_20+monster_head_eyu,NULL,1.0,2.2,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210950,210951,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30405,monster_name_30405,大型软浆怪,"","",30088,30405,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30406,monster_name_30406,变异破坏者,"","",30042,30406,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30407,monster_name_30407,变异守护者,"","",30015,30407,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.0,0,1,1,0,10,1,-1,-1,10,1,3,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,468,218,218,32,32,66,66,66,66,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30408,monster_name_30408,变异蹒跚者,"","",30089,30408,monster_head_10+monster_head_yongshengzhe,NULL,0.7,1.0,0,1,1,0,10,1,-1,-1,10,1,4,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,218,218,45,32,66,66,66,66,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30409,monster_name_30409,变异鞭笞者,"","",30020,30409,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30410,monster_name_30410,变异尖牙风蛇,"","",30013,30410,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,10,1,-1,-1,10,1,8,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,79,66,66,66,4000,4000,-1,-1,210120,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30411,monster_name_30411,变异剧毒风蛇,"","",30014,30411,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,10,1,-1,-1,10,1,1,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30412,monster_name_30412,噩梦软浆怪,"","",30016,30412,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30413,monster_name_30413,弱毒飞蛇,"","",30148,30413,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,10,1,-1,-1,10,1,2,0.5,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,95,10,66,44,44,44,44,390,234,234,32,32,66,66,79,66,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30414,monster_name_30414,剧毒飞蛇,"","",30148,30401,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30415,monster_name_30415,变异巨蟒(废弃),"","",30148,30402,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30416,monster_name_30416,尖牙德鲁伊,"","",30083,30403,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,1,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30417,monster_name_30417,变异鳄鱼,"","",30152,30404,monster_head_20+monster_head_eyu,NULL,1.0,2.2,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210950,210951,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30418,monster_name_30418,大型软浆怪,"","",30088,30405,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30419,monster_name_30419,变异破坏者,"","",30042,30406,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30420,monster_name_30420,变异守护者,"","",30015,30407,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.0,0,1,1,0,11,1,-1,-1,11,1,3,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,495,231,231,40,40,72,72,72,72,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30421,monster_name_30421,变异蹒跚者,"","",30089,30408,monster_head_10+monster_head_yongshengzhe,NULL,0.7,1.0,0,1,1,0,11,1,-1,-1,11,1,4,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,231,231,57,40,72,72,72,72,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30422,monster_name_30422,变异鞭笞者,"","",30020,30409,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30423,monster_name_30423,变异尖牙风蛇,"","",30013,30410,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,11,1,-1,-1,11,1,8,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,86,72,72,72,4000,4000,-1,-1,210120,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30424,monster_name_30424,变异剧毒风蛇,"","",30014,30411,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,11,1,-1,-1,11,1,1,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30425,monster_name_30425,噩梦软浆怪,"","",30016,30412,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30426,monster_name_30426,弱毒飞蛇,"","",30148,30413,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,11,1,-1,-1,11,1,2,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,100,11,70,46,46,46,46,413,248,248,40,40,72,72,86,72,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30427,monster_name_30427,剧毒飞蛇,"","",30148,30401,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30428,monster_name_30428,变异巨蟒(废弃),"","",30148,30402,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30429,monster_name_30429,尖牙德鲁伊,"","",30083,30403,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,1,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30430,monster_name_30430,变异鳄鱼,"","",30152,30404,monster_head_20+monster_head_eyu,NULL,1.0,2.2,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210950,210951,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30431,monster_name_30431,大型软浆怪,"","",30088,30405,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30432,monster_name_30432,变异破坏者,"","",30042,30406,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30433,monster_name_30433,变异守护者,"","",30015,30407,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.0,0,1,1,0,12,1,-1,-1,12,1,3,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,522,244,244,49,49,78,78,78,78,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30434,monster_name_30434,变异蹒跚者,"","",30089,30408,monster_head_10+monster_head_yongshengzhe,NULL,0.7,1.0,0,1,1,0,12,1,-1,-1,12,1,4,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,244,244,69,49,78,78,78,78,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30435,monster_name_30435,变异鞭笞者,"","",30020,30409,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30436,monster_name_30436,变异尖牙风蛇,"","",30013,30410,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,12,1,-1,-1,12,1,8,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,94,78,78,78,4000,4000,-1,-1,210120,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30437,monster_name_30437,变异剧毒风蛇,"","",30014,30411,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,12,1,-1,-1,12,1,1,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30438,monster_name_30438,噩梦软浆怪,"","",30016,30412,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30439,monster_name_30439,弱毒飞蛇,"","",30148,30413,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,12,1,-1,-1,12,1,2,0.5,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,105,12,73,49,49,49,49,435,261,261,49,49,78,78,94,78,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30440,monster_name_30440,剧毒飞蛇,"","",30148,30401,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30441,monster_name_30441,变异巨蟒(废弃),"","",30148,30402,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30442,monster_name_30442,尖牙德鲁伊,"","",30083,30403,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,1,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30443,monster_name_30443,变异鳄鱼,"","",30152,30404,monster_head_20+monster_head_eyu,NULL,1.0,2.2,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210950,210951,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30444,monster_name_30444,大型软浆怪,"","",30088,30405,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30445,monster_name_30445,变异破坏者,"","",30042,30406,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30446,monster_name_30446,变异守护者,"","",30015,30407,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.0,0,1,1,0,13,1,-1,-1,13,1,3,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,578,270,270,64,64,84,84,84,84,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30447,monster_name_30447,变异蹒跚者,"","",30089,30408,monster_head_10+monster_head_yongshengzhe,NULL,0.7,1.0,0,1,1,0,13,1,-1,-1,13,1,4,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,270,270,90,64,84,84,84,84,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30448,monster_name_30448,变异鞭笞者,"","",30020,30409,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30449,monster_name_30449,变异尖牙风蛇,"","",30013,30410,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,13,1,-1,-1,13,1,8,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,101,84,84,84,4000,4000,-1,-1,210120,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30450,monster_name_30450,变异剧毒风蛇,"","",30014,30411,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,13,1,-1,-1,13,1,1,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30451,monster_name_30451,噩梦软浆怪,"","",30016,30412,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30452,monster_name_30452,弱毒飞蛇,"","",30148,30413,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,13,1,-1,-1,13,1,2,0.5,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,110,13,77,52,52,52,52,482,289,289,64,64,84,84,101,84,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30453,monster_name_30453,剧毒飞蛇,"","",30148,30401,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30454,monster_name_30454,变异巨蟒(废弃),"","",30148,30402,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""""""
30455,monster_name_30455,尖牙德鲁伊,"","",30083,30403,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30456,monster_name_30456,变异鳄鱼,"","",30152,30404,monster_head_20+monster_head_eyu,NULL,1.0,2.2,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210950,210951,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30457,monster_name_30457,大型软浆怪,"","",30088,30405,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30458,monster_name_30458,变异破坏者,"","",30042,30406,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30459,monster_name_30459,变异守护者,"","",30015,30407,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.0,0,1,1,0,14,1,-1,-1,14,1,3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,608,284,284,76,76,90,90,90,90,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30460,monster_name_30460,变异蹒跚者,"","",30089,30408,monster_head_10+monster_head_yongshengzhe,NULL,0.7,1.0,0,1,1,0,14,1,-1,-1,14,1,4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,284,284,106,76,90,90,90,90,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30461,monster_name_30461,变异鞭笞者,"","",30020,30409,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30462,monster_name_30462,变异尖牙风蛇,"","",30013,30410,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,14,1,-1,-1,14,1,8,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,108,90,90,90,4000,4000,-1,-1,210120,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30463,monster_name_30463,变异剧毒风蛇,"","",30014,30411,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,14,1,-1,-1,14,1,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30464,monster_name_30464,噩梦软浆怪,"","",30016,30412,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30465,monster_name_30465,弱毒飞蛇,"","",30148,30413,monster_head_20+monster_head_feishe,NULL,1.0,0.5,0,1,1,0,14,1,-1,-1,14,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,14,81,54,54,54,54,506,304,304,76,76,90,90,108,90,4000,4000,-1,-1,210890,210891,210892,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30466,monster_name_30466,考布莱恩,boss_dec_30161,这是个BOSS,30084,30466,monster_head_10+monster_head_pisasi,NULL,1.5,1.0,0,1,2,0,11,1,-1,-1,11,2,1,1.76,2.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,70,46,46,46,46,1742,653,653,58,58,72,72,86,72,4000,4000,-1,-1,210050,210051,210930,210931,210932,-1,-1,-1,-1,-1,"","","","","","","",""
30467,monster_name_30467,安娜科德拉,boss_dec_30161,这是个BOSS,30147,30467,player_head_ka+player_head_ka_dong,NULL,1.0,1.0,0,1,2,0,11,1,-1,-1,11,2,8,1.76,2.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,70,46,46,46,46,1742,653,653,58,58,86,72,72,72,4000,4000,-1,-1,210870,210871,210872,210873,-1,-1,-1,-1,-1,-1,"","","","","","","",""
